iter	RMSE
0	1.154994051
1	1.138695277
2	1.120770943
3	1.106539169
4	1.089798951
5	1.073930931
6	1.058706244
7	1.045050812
8	1.030628723
9	1.017593178
10	1.005982583
11	0.9919717394
12	0.9789999755
13	0.9668431588
14	0.955999653
15	0.9435110452
16	0.9302524497
17	0.918167316
18	0.906987402
19	0.8948491061
20	0.8845396973
21	0.8741894279
22	0.8651739552
23	0.8555621407
24	0.8456840252
25	0.8372608203
26	0.8275581611
27	0.8188327711
28	0.8097666125
29	0.8016884653
30	0.7924702549
31	0.7850937249
32	0.7768467485
33	0.7681442894
34	0.7602049681
35	0.7540371216
36	0.7467847823
37	0.7391250318
38	0.7327401815
39	0.7263177248
40	0.7198370267
41	0.7132810507
42	0.7078992341
43	0.7014242062
44	0.696355407
45	0.6903159657
46	0.6848762179
47	0.6788613688
48	0.6742644938
49	0.6686897947
50	0.6632421338
51	0.6582937765
52	0.6533492464
53	0.6492012939
54	0.6444229394
55	0.6398351601
56	0.6346331939
57	0.629428874
58	0.6257120412
59	0.6213624429
60	0.6177468145
61	0.6140596711
62	0.6095783597
63	0.6055738177
64	0.6016816335
65	0.597553651
66	0.5940925985
67	0.5907868008
68	0.5869630845
69	0.5839426896
70	0.5807917344
71	0.5768870449
72	0.573923978
73	0.5705901558
74	0.5672791202
75	0.564363155
76	0.5612471031
77	0.5582175777
78	0.5556675004
79	0.5529060837
80	0.5497829596
81	0.5474759424
82	0.544944503
83	0.5422742229
84	0.5400618962
85	0.5375759539
86	0.5347229973
87	0.531782518
88	0.5288959886
89	0.5265019437
90	0.5244397898
91	0.521994449
92	0.5187091989
93	0.5168288552
94	0.514384304
95	0.5122612119
96	0.509547
97	0.5073326863
98	0.5046635631
99	0.5034676691
100	0.5001298972
101	0.4975588829
102	0.4957661472
103	0.4934021373
104	0.4912642766
105	0.4892977096
106	0.487356154
107	0.4854122759
108	0.483276015
109	0.4809952046
110	0.4787022673
111	0.4765879867
112	0.4742749274
113	0.4724566083
114	0.4702159755
115	0.4682042939
116	0.4663234855
117	0.4646377061
118	0.4630672823
119	0.4612456322
120	0.4591984023
121	0.4572365773
122	0.4552212834
123	0.453217898
124	0.4511356571
125	0.4492048285
126	0.4478115473
127	0.4461002965
128	0.4444716084
129	0.4428165681
130	0.4411383899
131	0.4401519282
132	0.4384636264
133	0.4367230301
134	0.4348085135
135	0.4333286972
136	0.4314594477
137	0.4298001801
138	0.4283279835
139	0.4266242886
140	0.4248800211
141	0.4235334868
142	0.422004378
143	0.4202640948
144	0.4188653983
145	0.4171849049
146	0.4158030108
147	0.4142584394
148	0.4128600053
149	0.4111945679
150	0.4096324317
151	0.4082160017
152	0.4068354213
153	0.4050694223
154	0.4036050676
155	0.402322471
156	0.4005058768
157	0.3992874627
158	0.3979211549
159	0.396731763
160	0.3953115556
161	0.394088513
162	0.3929649884
163	0.391993922
164	0.390820048
165	0.3896339806
166	0.3883712134
167	0.3872610945
168	0.3861003418
169	0.3845362547
170	0.3832628472
171	0.3818505644
172	0.3807552935
173	0.3797258587
174	0.3786042748
175	0.3775344695
176	0.3764749135
177	0.3754965395
178	0.374447441
179	0.3734303164
180	0.3723772847
181	0.3708987255
182	0.369829198
183	0.3687589672
184	0.3676508475
185	0.3664645696
186	0.3655335122
187	0.3641906288
188	0.3632227102
189	0.362031867
190	0.3610643117
191	0.3601361267
192	0.3597841953
193	0.3588695786
194	0.3579765367
195	0.3576062891
196	0.3563858499
197	0.3551413707
198	0.3542748331
199	0.3534365059
200	0.3524746459
201	0.3513348182
202	0.3504088299
203	0.350046296
204	0.3492786183
205	0.3482172161
206	0.3474260038
207	0.3466152315
208	0.3456977523
209	0.3448658779
210	0.3440787383
211	0.3432576881
212	0.3422078772
213	0.3414146046
214	0.3407091559
215	0.3399947164
216	0.3391965109
217	0.3384625871
218	0.3377273595
219	0.3369909858
220	0.336307237
221	0.3356374945
222	0.3348986226
223	0.3340946978
224	0.3327406002
225	0.3319150292
226	0.3311693144
227	0.330510633
228	0.3290138865
229	0.3283525636
230	0.3276446596
231	0.3269059953
232	0.3262828282
233	0.3253153558
234	0.3247003392
235	0.3240597732
236	0.3229868175
237	0.3223917521
238	0.3218283047
239	0.3212618701
240	0.3210501081
241	0.3199221223
242	0.318718947
243	0.3181720517
244	0.3174766209
245	0.3169410701
246	0.3164084965
247	0.315316811
248	0.3147715432
249	0.313525572
250	0.3130265603
251	0.3125132635
252	0.312081558
253	0.311308111
254	0.3110721323
255	0.3105310599
256	0.3097158954
257	0.3088752661
258	0.3076798738
259	0.3071809837
260	0.3064213239
261	0.3050994013
262	0.3045969767
263	0.3036319103
264	0.3031110149
265	0.3021336709
266	0.3016535524
267	0.3012588166
268	0.3010498607
269	0.3005172444
270	0.3000577126
271	0.2991495386
272	0.2986346168
273	0.2977232223
274	0.2965657747
275	0.2956836347
276	0.2952546946
277	0.2946491848
278	0.2939651204
279	0.2935501791
280	0.2931747914
281	0.2927567557
282	0.2917325585
283	0.2908958833
284	0.2896457385
285	0.2890270845
286	0.2882257393
287	0.28769412
288	0.2868284292
289	0.2857665418
290	0.2850616963
291	0.2842705754
292	0.2836129149
293	0.2825666281
294	0.2818430416
295	0.2813215304
296	0.2808914815
297	0.2805073657
298	0.2800850956
299	0.2793293585
300	0.2789357691
301	0.2782110217
302	0.2775534732
303	0.2771980173
304	0.2760438049
305	0.275513033
306	0.2749689125
307	0.2745681565
308	0.2739476243
309	0.2730602911
310	0.2727233181
311	0.2723468399
312	0.271862171
313	0.2713882554
314	0.2709698197
315	0.2705663824
316	0.2700462234
317	0.2695962278
318	0.2686057788
319	0.2682689763
320	0.2668796414
321	0.2665121198
322	0.266003801
323	0.2653548687
324	0.264887175
325	0.2644528895
326	0.2641317662
327	0.2634818622
328	0.2629371613
329	0.2622878273
330	0.2619681894
331	0.2616338652
332	0.2613311478
333	0.2610164444
334	0.2606477161
335	0.2598123057
336	0.2586103599
337	0.2582809138
338	0.2574132431
339	0.2571155864
340	0.256663196
341	0.2559696509
342	0.2550853333
343	0.2538338018
344	0.2528419538
345	0.2525337652
346	0.2518707511
347	0.251566973
348	0.2504858642
349	0.2496816015
350	0.2493191007
351	0.2489656515
352	0.2478992538
353	0.2476119155
354	0.2472967769
355	0.2470066959
356	0.2466937488
357	0.2463020676
358	0.2460542665
359	0.2456639468
360	0.2453912308
361	0.2449344471
362	0.2445341799
363	0.244244218
364	0.2439741528
365	0.2437029968
366	0.2430347124
367	0.2427799464
368	0.2423092027
369	0.2415897436
370	0.2404484624
371	0.2401962064
372	0.2399458229
373	0.2396051214
374	0.2393326659
375	0.2390811882
376	0.2388413032
377	0.2379706948
378	0.2375975517
379	0.2373379498
380	0.2362930803
381	0.2349847488
382	0.2339013166
383	0.2336270508
384	0.2333971441
385	0.2326295858
386	0.2324022031
387	0.2321434743
388	0.2318982254
389	0.2314908819
390	0.2312450654
391	0.231028393
392	0.2304490609
393	0.2302415801
394	0.2296519235
395	0.2292970338
396	0.2285713166
397	0.2283603504
398	0.2277847385
399	0.2267397357
400	0.2263753168
401	0.2256887079
402	0.225027768
403	0.2245513082
404	0.2243199226
405	0.2241113156
406	0.2239670227
407	0.2235636083
408	0.2233573376
409	0.2225100211
410	0.222253674
411	0.2220494217
412	0.2218547404
413	0.2209297981
414	0.2207336582
415	0.2204422059
416	0.2200666922
417	0.2195583051
418	0.2189997438
419	0.2186086673
420	0.2184201778
421	0.2182093604
422	0.2180261987
423	0.2175997391
424	0.2174189851
425	0.2172518395
426	0.2170526631
427	0.2168773044
428	0.216565719
429	0.2159549821
430	0.2152255436
431	0.2150133628
432	0.2147788819
433	0.2136680425
434	0.2132973078
435	0.2131278277
436	0.2129594897
437	0.2127290793
438	0.2122113476
439	0.2120484138
440	0.2116117518
441	0.2114409674
442	0.2106236744
443	0.2104058217
444	0.2097708038
445	0.2096157547
446	0.2094623433
447	0.2092258032
448	0.2090117151
449	0.2084595446
450	0.2078977354
451	0.2077398522
452	0.2075930149
453	0.2074496784
454	0.2073084327
455	0.2070383183
456	0.2061668949
457	0.2059382019
458	0.2051608368
459	0.2050241252
460	0.2045083586
461	0.2039120775
462	0.2034429405
463	0.2027822504
464	0.2021429212
465	0.2015982898
466	0.2011323835
467	0.2004825209
468	0.2000071546
469	0.1998153445
470	0.1996913147
471	0.1995593961
472	0.1988420422
473	0.1987144637
474	0.1985506756
475	0.1978637845
476	0.1973986423
477	0.1969574239
478	0.1964999198
479	0.1963233967
480	0.1957123319
481	0.1955387219
482	0.1947300676
483	0.1940732365
484	0.1938923715
485	0.1935946836
486	0.193421545
487	0.1930548409
488	0.1925251959
489	0.1921636812
490	0.1918066673
491	0.1909831585
492	0.1908183079
493	0.1903584713
494	0.189433077
495	0.1890698787
496	0.1888589122
497	0.1886555437
498	0.188457087
499	0.1881061256
500	0.1880036279
501	0.1875831104
502	0.1871751569
503	0.1866759958
504	0.1859967055
505	0.1858838068
506	0.1857230699
507	0.1853185181
508	0.1849247449
509	0.1844257366
510	0.1838762042
511	0.1837141214
512	0.1836045899
513	0.1828708097
514	0.1821377024
515	0.1814534257
516	0.1813475609
517	0.1811966621
518	0.1810596333
519	0.1807567236
520	0.1806053331
521	0.180499647
522	0.1803548848
523	0.1802604944
524	0.1800909224
525	0.1792881676
526	0.1789018005
527	0.1784681683
528	0.1782277191
529	0.1781316239
530	0.177476302
531	0.1768592806
532	0.1765136085
533	0.1764015174
534	0.1763061651
535	0.1759143041
536	0.1757661624
537	0.1754406048
538	0.174576007
539	0.1744814077
540	0.1743889189
541	0.1740020907
542	0.1736595247
543	0.1735151597
544	0.1734248886
545	0.1732602752
546	0.1731276232
547	0.1723611542
548	0.1721536448
549	0.1716903799
550	0.1710284325
551	0.1703782176
552	0.1698149986
553	0.1693666546
554	0.1692789187
555	0.1685238916
556	0.1679942108
557	0.1678623502
558	0.1677326347
559	0.1675143715
560	0.1671424508
561	0.1666415504
562	0.1663061534
563	0.1661475815
564	0.1657757306
565	0.1656916673
566	0.1655878012
567	0.1654655163
568	0.1650664649
569	0.1648334709
570	0.1647538903
571	0.1643780465
572	0.1642987698
573	0.1640998775
574	0.1639621922
575	0.1638859469
576	0.1638169477
577	0.1637148639
578	0.1635111307
579	0.1633987935
580	0.1632790056
581	0.1626232043
582	0.1621500348
583	0.1620792539
584	0.1618818581
585	0.1613015475
586	0.160689984
587	0.1603215549
588	0.1599173911
589	0.1596499723
